id_sample,sample_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,LAI_FILE,VERSION,DATE,TIME,PROMPT1,RESP1,PROMPT2,RESP2,TRANSCOMP,MODEL,GPSLAT,GPSLONG,GPSALT,GPSHDOP,GPSNUM,LAI,SEL,ACF,DIFN,MTA,SEM,SMP
93_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,93,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-093B,2.0.3,20220801,17:50:56,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.960,0.4265,0.9329,0.04412,38.69,4.445,3
94_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,94,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-094A,2.0.3,20220801,17:51:41,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.286,0.7029,0.7433,0.07410,41.27,1.054,4
94_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,94,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-094B,2.0.3,20220801,17:52:37,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.360,0.7636,0.6795,0.06964,43.39,6.381,4
95_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,95,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-095A,2.0.3,20220801,17:53:41,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.418,0.2948,0.8865,0.1606,42.12,3.746,4
95_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,95,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-095B,2.0.3,20220801,17:54:24,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.351,0.4033,0.8421,0.1699,33.03,8.085,4
96_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,96,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-096A,2.0.3,20220801,17:54:53,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.705,0.8190,0.6841,0.05252,42.13,3.953,4
96_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,96,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-096B,2.0.3,20220801,17:56:49,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.123,0.3701,0.8833,0.08653,41.19,1.208,4
97_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,97,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-097A,2.0.3,20220801,17:57:22,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.615,0.3464,0.9045,0.1415,41.25,3.317,4
97_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,97,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-097B,2.0.3,20220801,17:58:25,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.107,0.4706,0.8182,0.08725,41.59,1.211,4
98_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,98,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-098A,2.0.3,20220801,17:58:55,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.447,0.3851,0.9164,0.07791,46.80,2.813,4
98_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,98,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-098B,2.0.3,20220801,17:59:24,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.076,0.3923,0.8324,0.08854,45.85,6.356,4
99_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,99,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-099A,2.0.3,20220801,17:59:56,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.028,0.4163,0.8631,0.04307,42.72,0.5791,4
99_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,99,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-099B,2.0.3,20220801,18:00:24,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.452,0.6100,0.8917,0.07032,28.43,11.05,3
100_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,100,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-100A,2.0.3,20220801,18:00:58,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.695,0.6923,0.8004,0.02480,41.24,2.559,4
100_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,100,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-100B,2.0.3,20220801,18:01:30,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.045,0.7711,0.6965,0.04275,42.29,1.299,4
,,,,,,,,,AE3-15A,2.0.3,20220801,15:43:54,,,,,APS,HORIZONTAL,,,,,,4.165,0.8485,0.7282,0.04042,44.63,3.154,4
